iter	Passed	Remaining
636	9453	5386
637	9467	5371
638	9482	5357
639	9495	5341
640	9509	5325
641	9522	5309
642	9535	5293
643	9550	5279
644	9564	5264
645	9577	5248
646	9591	5233
647	9605	5217
648	9618	5201
649	9631	5186
650	9644	5170
651	9658	5155
652	9670	5139
653	9683	5123
654	9695	5106
655	9708	5091
656	9721	5075
657	9735	5060
658	9750	5045
659	9763	5029
660	9777	5014
661	9792	4999
662	9806	4984
663	9819	4968
664	9835	4954
665	9850	4939
666	9864	4925
667	9880	4910
668	9896	4896
669	9911	4881
670	9925	4866
671	9940	4851
672	9954	4836
673	9969	4821
674	9983	4807
675	9999	4792
676	10014	4777
677	10027	4762
678	10041	4747
679	10056	4732
680	10069	4716
681	10083	4701
682	10097	4686
683	10112	4671
684	10125	4656
685	10139	4641
686	10154	4626
687	10168	4611
688	10184	4596
689	10197	4581
690	10214	4567
691	10227	4552
692	10241	4537
693	10255	4521
694	10269	4506
695	10282	4491
696	10295	4475
697	10309	4460
698	10322	4445
699	10336	4429
700	10350	4414
701	10365	4400
702	10378	4384
703	10391	4369
704	10404	4353
705	10419	4338
706	10432	4323
707	10446	4308
708	10461	4293
709	10475	4278
710	10489	4263
711	10504	4249
712	10521	4234
713	10535	4220
714	10548	4204
715	10560	4188
716	10573	4173
717	10587	4158
718	10599	4142
719	10612	4127
720	10624	4111
721	10636	4095
722	10649	4080
723	10664	4065
724	10678	4050
725	10691	4034
726	10704	4019
727	10717	4004
728	10730	3989
729	10743	3973
730	10757	3958
731	10769	3943
732	10783	3928
733	10797	3913
734	10812	3898
735	10828	3884
736	10845	3870
737	10860	3855
738	10874	3840
739	10888	3825
740	10903	3811
741	10916	3795
742	10933	3781
743	10948	3767
744	10962	3752
745	10977	3737
746	10991	3722
747	11003	3707
748	11016	3691
749	11028	3676
750	11042	3661
751	11055	3645
752	11067	3630
753	11080	3615
754	11092	3599
755	11105	3584
756	11117	3568
757	11130	3553
758	11144	3538
759	11157	3523
760	11171	3508
761	11184	3493
762	11197	3478
763	11210	3462
764	11225	3448
765	11239	3433
766	11252	3418
767	11265	3403
768	11278	3387
769	11291	3372
770	11304	3357
771	11316	3342
772	11328	3326
773	11341	3311
774	11353	3296
775	11365	3280
776	11378	3265
777	11391	3250
778	11403	3235
779	11416	3220
780	11429	3205
781	11443	3190
782	11457	3175
783	11470	3160
784	11484	3145
785	11497	3130
786	11511	3115
787	11525	3100
788	11539	3085
789	11552	3071
790	11567	3056
791	11582	3041
792	11597	3027
793	11609	3011
794	11623	2997
795	11637	2982
796	11651	2967
797	11666	2953
